anio,mes,lbm.rural,lbm.urbano,lb.rural,lb.urbano
1992,Ene,114.93,173.14,216.81,365.38
1992,Feb,115.33,174.14,218.06,367.6
1992,Mar,116.56,175.53,219.84,369.77
1992,Abr,118.25,177.36,221.67,371.74
1992,May,117.29,177.08,221.22,372.2
1992,Jun,117.57,177.68,222.37,374.13
1992,Jul,117.39,177.53,222.88,375.05
1992,Ago,116.33,176.89,222.61,375.81
1992,Sep,116.43,177.08,225.18,381.43
1992,Oct,117.27,177.8,227.31,384.35
1992,Nov,119.02,179.37,230.23,387.89
1992,Dic,123.46,183.93,235.86,394.74
1993,Ene,126.84,188.05,241.23,404.28
1993,Feb,126.8,188.68,241.97,406.2
1993,Mar,124.32,186.9,240.47,405.92
1993,Abr,122.3,185.16,238.51,404.19
1993,May,122.74,185.77,239.06,404.96
1993,Jun,123.28,186.15,240.25,406.45
1993,Jul,123.39,186.13,240.9,407.19
1993,Ago,122.95,186.27,241.22,408.68
1993,Sep,124.04,187.25,244.43,414.24
1993,Oct,124.03,187.27,245.63,416.31
1993,Nov,124.89,188.22,247.52,418.96
1993,Dic,127.86,191.03,251.06,422.78
1994,Ene,129.33,193.09,253.07,426.01
1994,Feb,127.51,191.17,252.39,426.36
1994,Mar,126.55,190.54,252.41,427.84
1994,Abr,125.77,189.95,251.69,427.25
1994,May,125.72,189.73,251.82,427.21
1994,Jun,126.25,190.35,253.08,428.95
1994,Jul,127.36,191.65,254.58,430.76
1994,Ago,127.89,192.28,255.73,432.56
1994,Sep,128.09,192.47,257.42,436.31
1994,Oct,128.1,192.79,258.6,438.55
1994,Nov,129.1,193.85,260.69,441.32
1994,Dic,130.82,195.7,263.24,444.36
1995,Ene,135.5459301,202.7518589,270.61,455.56
1995,Feb,140.4052547,210.8964444,281.08,472.13
1995,Mar,146.2073498,219.718944,297.15,500.36
1995,Abr,154.5584466,231.0045638,317.48,531.48
1995,May,162.2394038,240.8725123,329.9,548.49
1995,Jun,169.0126313,249.6941073,341.13,564.5
1995,Jul,173.1233568,255.2288541,348.05,574.62
1995,Ago,174.505294,257.4085556,352.51,582.12
1995,Sep,176.4842982,260.869402,359.28,594.69
1995,Oct,180.5765732,265.8662737,367.1,605.79
1995,Nov,188.1320829,275.2036893,379.08,621.88
1995,Dic,197.2276535,286.8653413,394.77,645.01
1996,Ene,205.476664,298.6998682,412.23,677.07
1996,Feb,210.5820995,306.2632053,420.85,690.88
1996,Mar,214.793659,312.0345479,429,703.38
1996,Abr,221.9785457,321.1459455,439.32,717.58
1996,May,228.7331317,330.1745622,448.31,731.36
1996,Jun,233.3488979,336.5180731,456.81,745.23
1996,Jul,236.4330045,341.1144897,462.89,754.83
1996,Ago,238.6490501,344.7310403,468.77,764.69
1996,Sep,242.8618092,350.2523444,477.97,779.48
1996,Oct,246.544893,355.3616857,486.48,794.86
1996,Nov,250.8488536,360.2151624,495.69,807.61
1996,Dic,257.5606574,369.6592779,511.72,833.23
1997,Ene,267.017882,381.974192,525.3,850.73
1997,Feb,268.4596123,385.8997464,530.95,862.52
1997,Mar,268.7150877,387.5342776,534.71,870.43
1997,Abr,271.0262608,391.1774711,539.01,877.7
1997,May,272.2394472,393.2392556,541.64,883.29
1997,Jun,273.1790704,395.5777895,545.4,890.82
1997,Jul,276.5487199,399.9789475,551.36,899.65
1997,Ago,279.2394103,403.6297092,557.12,908.83
1997,Sep,282.1565237,407.1910471,565.27,923.58
1997,Oct,282.3032235,408.8589444,569.14,931.99
1997,Nov,284.6726585,412.3152487,576.47,944.24
1997,Dic,289.961928,418.6930813,585.62,957.14
1998,Ene,298.1640157,430.6793343,599.33,979.43
1998,Feb,308.4090747,443.5108121,614,1000.14
1998,Mar,312.9873352,449.1231843,621.8,1011.45
1998,Abr,313.4053919,451.0731234,625.13,1018.19
1998,May,313.0769254,452.0437264,624.66,1018.84
1998,Jun,314.8165974,453.9656355,629.1,1025.23
1998,Jul,319.7840852,458.9648204,636.7,1034.08
1998,Ago,324.1779587,465.6143346,644.67,1046.8
1998,Sep,329.2390018,472.9187215,656.99,1067.98
1998,Oct,336.03666,481.4122061,667.91,1082.9
1998,Nov,341.4259356,487.9822575,680.85,1101.47
1998,Dic,355.4914027,503.9725752,702.57,1129.94
1999,Ene,371.2800621,520.9944193,724.45,1156.46
1999,Feb,370.2878732,522.9275254,729.07,1167.17
1999,Mar,365.3710623,520.9796718,730.1,1176.76
1999,Abr,363.8022838,521.0300735,732.41,1184.07
1999,May,363.9818799,522.5101056,732.39,1184.45
1999,Jun,364.114542,523.9564675,735.8,1191.01
1999,Jul,365.6603386,526.6449779,739.92,1198.45
1999,Ago,366.0892053,528.5763044,743.75,1206.01
1999,Sep,366.0808235,529.4076297,750.94,1221.33
1999,Oct,366.6339483,531.2608283,755.07,1228.81
1999,Nov,367.6094179,532.5917009,763.54,1242.6
1999,Dic,375.0368988,540.9327269,773.86,1255.21
2000,Ene,380.731923,547.8875727,784,1269.98
2000,Feb,379.8657189,548.5547207,787.51,1278.4
2000,Mar,378.9559137,548.358957,789.46,1282.74
2000,Abr,378.971157,547.8292233,790.27,1283.48
2000,May,382.3877037,552.0861877,791.41,1283.43
2000,Jun,387.7932574,557.9050413,798,1291.35
2000,Jul,391.2859476,562.1130199,803.05,1297.9
2000,Ago,393.007764,565.5706867,807.05,1305.83
2000,Sep,392.1285387,565.7236422,810.98,1315.26
2000,Oct,395.1604249,568.8791269,818.07,1328.09
2000,Nov,397.6388239,572.5246369,827.35,1342.83
2000,Dic,409.3257419,584.8564476,841.51,1359.11
2001,Ene,408.4662203,585.3907424,842.81,1363.53
2001,Feb,396.4612343,575.2034179,834.04,1358.91
2001,Mar,398.4874834,577.8933838,838.88,1368.07
2001,Abr,401.7702543,581.6624947,842.36,1372.26
2001,May,404.6286041,584.6446937,841.69,1369.18
2001,Jun,405.1393832,585.6933567,843.63,1372.85
2001,Jul,403.8490715,585.3570898,842.72,1373.14
2001,Ago,411.0358746,593.3511517,851.93,1385.15
2001,Sep,413.7863901,596.2482961,860.38,1400.47
2001,Oct,418.6554294,600.8381711,866.68,1408.01
2001,Nov,419.6671953,601.9231183,873.73,1419.32
2001,Dic,422.1018063,606.3694217,877.38,1425.57
2002,Ene,428.2587899,614.745024,888.54,1444.24
2002,Feb,414.0660069,603.425753,882.16,1446.83
2002,Mar,414.0080396,603.9757789,884.77,1452.45
2002,Abr,419.4816271,610.1773089,890.73,1459.02
2002,May,422.8289938,613.1634038,889.26,1453.44
2002,Jun,427.542935,618.1993585,894.84,1460.01
2002,Jul,431.6960666,622.7923186,899.3340122,1465.250674
2002,Ago,431.2673126,623.3805005,900.8518633,1469.558177
2002,Sep,430.0833574,623.0108958,904.3934979,1479.088416
2002,Oct,429.7544796,622.8880926,906.9102807,1483.828736
2002,Nov,435.0873527,629.4151909,917.7392159,1500.299153
2002,Dic,447.0766335,641.2003001,930.9124476,1513.826385
2003,Ene,445.8577505,641.1229853,931.8440811,1517.279327
2003,Feb,441.4876896,638.6444892,929.1653644,1518.109296
2003,Mar,452.1012185,650.1797853,941.5899826,1532.462967
2003,Abr,445.0315144,644.5014703,934.6577769,1526.874347
2003,May,445.4941076,644.7829807,930.6231027,1518.486129
2003,Jun,445.6899709,644.5147294,931.2961864,1518.969673
2003,Jul,451.5248497,650.1320722,937.0890175,1524.369612
2003,Ago,448.9607292,647.795074,936.2270548,1525.919301
2003,Sep,452.563118,651.531329,943.2235499,1536.406402
2003,Oct,454.2484911,653.0633351,946.897911,1541.273077
2003,Nov,459.9080565,659.8879174,960.0793257,1561.585305
2003,Dic,472.0066591,673.4868936,972.6143857,1575.739647
2004,Ene,471.2773086,675.696344,975.2698358,1583.380332
2004,Feb,466.198946,672.7566772,973.3264669,1585.942577
2004,Mar,466.0208652,673.539261,974.8568147,1589.563615
2004,Abr,470.3388627,678.0166941,979.891067,1595.142214
2004,May,472.9229447,681.4859828,978.0367629,1590.167447
2004,Jun,466.2880944,675.7678622,972.6177325,1586.600407
2004,Jul,468.8633553,678.8789249,976.3095075,1591.563858
2004,Ago,479.7348956,690.687596,989.0654773,1607.075027
2004,Sep,495.6639152,708.5393622,1008.992813,1632.93313
2004,Oct,513.7489471,727.7219223,1029.493611,1656.095329
2004,Nov,521.4763648,735.8429765,1044.552404,1677.145589
2004,Dic,514.8175758,731.2320972,1039.471929,1674.723054
2005,Ene,492.6389365,711.4574831,1019.527201,1658.577555
2005,Feb,488.9678677,708.6300187,1017.167844,1657.559572
2005,Mar,496.6576291,717.4684164,1026.466249,1668.711275
2005,Abr,516.9974651,737.6689522,1046.168223,1687.466995
2005,May,528.9149385,749.9404259,1051.409688,1687.203139
2005,Jun,514.1948397,736.7933157,1038.155739,1676.411969
2005,Jul,518.9872078,741.4415716,1043.439331,1681.797854
2005,Ago,516.1460941,739.6050954,1042.229212,1683.143429
2005,Sep,515.2977747,739.9812994,1045.471322,1691.505724
2005,Oct,509.3975057,735.176066,1042.86378,1692.256033
2005,Nov,501.9761428,728.8994819,1045.228209,1703.601094
2005,Dic,518.572335,745.2371984,1063.788355,1723.097715
2006,Ene,531.4357915,758.5819203,1078.703248,1739.794458
2006,Feb,529.9589057,757.3517903,1077.548281,1739.251977
2006,Mar,518.0922296,746.7213328,1067.197242,1731.1267
2006,Abr,517.3268306,746.6904986,1065.618237,1729.21416
2006,May,521.8858424,751.7969139,1062.510646,1720.446907
2006,Jun,515.194939,747.2075469,1057.06643,1717.933783
2006,Jul,515.4230277,748.0141823,1058.268699,1720.286929
2006,Ago,525.9475886,757.083273,1070.56626,1732.589701
2006,Sep,558.6827213,787.6080965,1106.398705,1769.269264
2006,Oct,569.8333549,798.9450224,1120.678799,1785.743391
2006,Nov,556.3712275,788.9461846,1116.135059,1792.076133
2006,Dic,570.807186,805.3427331,1132.210608,1810.596693
2007,Ene,578.4019219,814.8246029,1141.554658,1823.017956
2007,Feb,574.9938494,813.6752912,1139.302938,1823.917019
2007,Mar,575.9655277,815.5482845,1141.085209,1827.077806
2007,Abr,580.2905059,820.7063814,1142.714938,1826.804045
2007,May,560.1176504,799.9312507,1117.197272,1796.07994
2007,Jun,550.6913703,791.0910984,1108.767484,1788.818361
2007,Jul,559.1678554,800.8481923,1118.060111,1799.996166
2007,Ago,563.980972,807.2168214,1124.855003,1810.257305
2007,Sep,580.0846982,824.381775,1144.01669,1833.550367
2007,Oct,577.1433127,823.4011244,1145.751887,1840.83969
2007,Nov,580.1410861,827.526783,1155.27343,1855.258135
2007,Dic,591.1054992,840.6924255,1168.270214,1870.296243
2008,Ene,590.52926,842.1027239,1170.230044,1876.612799
2008,Feb,578.474172,832.5235545,1160.546746,1870.925242
2008,Mar,588.8424828,842.9822503,1174.392935,1886.820316
2008,Abr,600.0266381,855.6406408,1183.643735,1895.265688
2008,May,601.5066771,858.5968362,1180.736782,1889.447741
2008,Jun,602.3922713,860.5190574,1184.271627,1896.29986
2008,Jul,610.5373224,869.6853838,1195.051018,1909.92664
2008,Ago,613.9117157,874.7235331,1203.542958,1923.761493
2008,Sep,619.5951385,882.1722019,1215.372538,1941.976316
2008,Oct,626.8204445,890.5580085,1228.374287,1959.808514
2008,Nov,641.0076419,908.2324046,1251.376368,1992.647326
2008,Dic,653.7461532,921.4360224,1266.571708,2008.367989
2009,Ene,648.1751587,918.8720244,1262.153755,2007.446839
2009,Feb,642.6589341,915.3655349,1258.675074,2007.21152
2009,Mar,656.1375767,931.6253762,1274.252044,2026.521428
2009,Abr,672.8397316,948.3532926,1289.969012,2041.359506
2009,May,672.7303707,949.602492,1283.642256,2029.971969
2009,Jun,673.254814,951.4516269,1284.772234,2032.414711
2009,Jul,677.1568242,957.0573012,1289.568888,2038.459618
2009,Ago,682.8286829,964.670168,1298.336229,2049.896222
2009,Sep,699.2833981,981.0341094,1317.296165,2070.889797
2009,Oct,691.7556735,974.7456417,1315.023357,2075.211253
2009,Nov,683.9620386,967.2756147,1315.229196,2081.526226
2009,Dic,682.4812515,964.6209725,1315.348025,2079.920076
2010,Ene,692.6430744,977.9164488,1337.013716,2117.28896
2010,Feb,697.3444417,985.5605404,1346.183047,2133.526981
2010,Mar,725.4747884,1014.512189,1377.22038,2167.202924
2010,Abr,717.1708379,1007.389794,1367.027129,2155.676399
2010,May,692.9390863,984.7532788,1335.469787,2119.680173
2010,Jun,677.4760448,969.9562607,1320.967225,2106.499446
2010,Jul,680.2313914,973.6691685,1324.326259,2110.622816
2010,Ago,683.7184244,978.2940331,1330.496528,2120.035695
2010,Sep,691.0548514,986.4720086,1341.658572,2135.907698
2010,Oct,699.6487016,996.0199429,1355.930238,2154.152973
2010,Nov,704.6924913,1002.563075,1369.275684,2175.468855
2010,Dic,712.7251076,1012.080343,1377.871412,2184.563033
2011,Ene,717.0299934,1020.011096,1385.267944,2197.619774
2011,Feb,720.8924854,1024.966749,1391.87583,2207.707165
2011,Mar,714.2003455,1019.415972,1386.679141,2204.276622
2011,Abr,736.880002,1039.578062,1404.232902,2212.924059
2011,May,715.7361773,1020.860236,1375.501948,2180.154474
2011,Jun,701.0507406,1006.532104,1362.378107,2167.895749
2011,Jul,712.4235093,1018.114035,1374.459112,2180.214827
2011,Ago,715.0991403,1021.227612,1378.725961,2186.324303
2011,Sep,723.3249829,1030.194964,1390.36882,2201.346768
2011,Oct,728.860213,1034.999613,1402.531354,2218.02589
2011,Nov,736.7800391,1045.454185,1421.443472,2248.67201
2011,Dic,755.7309839,1067.231103,1444.138471,2274.776422
2012,Ene,768.3960473,1079.953288,1459.698991,2292.008017
2012,Feb,762.6509199,1077.303589,1456.716503,2293.766197
2012,Mar,765.13,1081.17,1460.268934,2298.731444
2012,Abr,763.64,1082.05,1454.401836,2290.450438
2012,May,766.44,1083.67,1449.238006,2277.243449
2012,Jun,782.89,1101.45,1467.325427,2296.745222
2012,Jul,798.58,1120.13,1484.855446,2317.805309
2012,Ago,800.26,1125.42,1489.762119,2328.648014
2012,Sep,818.5,1144.81,1509.840125,2349.67505
2012,Oct,820.33,1147.94,1516.57,2361.387609
2012,Nov,816.83,1148.65,1523.44182,2378.658828
2012,Dic,823.95,1158.6,1532.071837,2388.379944
2013,Ene,824.56,1161.37,1535.490661,2397.752734
2013,Feb,823.02,1160.15,1537.431203,2405.075942
2013,Mar,838.17,1177.04,1554.308359,2424.953076
2013,Abr,839.85,1179.9,1553.74,2422.863204
2013,May,839.37,1179.31,1545.419149,2407.685961
2013,Jun,832.29,1172.89,1540.01,2403.889779
2013,Jul,825.37,1167.94,1533.92,2399.605087
2013,Ago,834.42,1179.14,1545.486172,2415.319192
2013,Sep,840.08,1186.68,1555.008277,2430.498381
2013,Oct,838.55,1186.55,1561.17,2444.682603
2013,Nov,854.77,1202.85,1588.08,2480.771416
2013,Dic,868.03,1216.68,1611.58,2513.354241
2014,Ene,868.31,1227.42,1622.656469,2543.854729
2014,Feb,869.64,1234.38,1625.8,2554.312475
2014,Mar,874.87,1242.83,1632.81,2565.445856
2014,Abr,857.08,1224.98,1608.577591,2535.348781
2014,May,851.87,1220.29,1593.262877,2511.511998
2014,Jun,853.6,1225.16,1596.395962,2518.534794
2014,Jul,860.0561076,1231.91,1603.6734,2526.376841
2014,Ago,868.25,1242.61,1614.652892,2542.127
2014,Sep,881.39,1257.07,1631.448413,2563.453532
2014,Oct,887.26,1264.92,1645.737208,2586.1641
2014,Nov,895.84,1272.91,1666.685221,2616.677278
2014,Dic,914.89,1291.93,1687.017479,2636.848174
2015,Ene,897.3,1265.85,1667.903681,2601.64
2015,Feb,887.58,1256.67,1661.54,2598.33
2015,Mar,903.7,1271.1,1679.32,2615.15
2015,Abr,907.22,1273.09,1676.92,2605.32
2015,May,898,1264.49,1657.25,2577.19
2015,Jun,898.78,1267.68,1658.58,2581.46
2015,Jul,906.07,1275.08,1666.16,2589.54
2015,Ago,910.28,1281.24,1673.52,2600.79
2015,Sep,917.45,1290.21,1685.5,2618.55
2015,Oct,920.25,1295.01,1697.39,2639.65
2015,Nov,920.69,1297.65,1708.91,2661.56
2015,Dic,938.01,1315.06,1727.04,2679.31
2016,Ene,956.16,1333.69,1747.19,2701.82
2016,Feb,963.11,1343.22,1757.85,2717.1
2016,Mar,959.7170099,1338.862151,1755.566288,2714.663701
2016,Abr,955.4622638,1335.175132,1741.25167,2690.645479
2016,May,948.06,1330.31,1720.77,2660.46
2016,Jun,937.9640738,1322.610395,1711.408828,2653.840111
2016,Jul,935.6604337,1321.237678,1716.387315,2667.940796
2016,Ago,933.2029809,1310.943506,1715.574258,2660.404209
2016,Sep,959.5893505,1339.388628,1745.066971,2694.972841
2016,Oct,963.1657884,1346.463306,1757.503834,2717.814442
2016,Nov,969.5267112,1355.718372,1775.63283,2748.643586
2016,Dic,979.4194041,1369.667225,1787.148335,2764.786595
2017,Ene,975.6438751,1371.655234,1795.623189,2786.446824
2017,Feb,970.5077612,1373.092585,1797.653739,2799.638135
2017,Mar,981.6541586,1386.101569,1813.385092,2819.884573
2017,Abr,994.8498425,1400.267109,1821.065397,2822.691401
2017,May,1002.981797,1408.277172,1823.229544,2817.470746
2017,Jun,1014.151842,1422.254131,1835.934748,2834.286402
2017,Jul,1035.588819,1446.514486,1856.617289,2857.647102
2017,Ago,1060.240349,1477.310747,1886.144996,2896.979626
2017,Sep,1064.208002,1485.225161,1888.871495,2899.597185
2017,Oct,1045.759039,1469.781669,1891.51059,2924.93746
2017,Nov,1052.415341,1475.916297,1914.760366,2959.882746
